trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",25,0,-282.98106483207096,"{0: 8, 1: 7, 2: 4, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.7744}",20,0,-107.61645037435507,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.681472}",25,0,-138.17084681900283,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",25,6,-115.89244489069068,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.5277319168}",30,0,-163.69060876425868,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",20,0,-16.525784672077474,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",20,0,-129.68615774914832,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",25,0,-145.31670358223826,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.316478381828866}",20,0,-76.79978659130242,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",20,0,-60.587524136018864,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",25,0,-208.5326102311922,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.215671155821681}",25,0,-56.84253126254643,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",30,0,-95.71435532825187,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",20,0,-1.393151930828112,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",30,0,-67.81710010701688,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",20,0,-12.763031593606124,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",20,3,-1.2045340025279656,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",20,9,5.5626430310620245,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",25,0,19.843511607022048,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",25,7,-35.88796897825461,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",20,0,-34.97302309446635,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",20,10,-14.070945888963715,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",30,0,-21.57389714410041,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",20,15,-0.09075904238763854,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.04093236175904464}",20,7,19.138628583541042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.03602047834795928}",25,0,-52.12343142987323,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.03169802094620417}",30,20,19.311438131612512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.02789425843265967}",25,8,-50.768608405032595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.02454694742074051}",25,10,-15.688906382715196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.02160131373025165}",25,18,-11.064988600503643,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
