trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.6, 'e': 0.42805066795449304}",25,0,-49.42033588402672,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.41948965459540316}",30,3,-85.75404382852795,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 2}",1
44,False,"{'a': 0.6, 'e': 0.4110998615034951}",30,6,-60.94230496579843,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.6, 'e': 0.4028778642734252}",30,0,-90.50833234233099,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.6, 'e': 0.39482030698795667}",25,12,-36.049996006439635,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.38692390084819756}",20,9,-53.669328270558104,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
48,False,"{'a': 0.6, 'e': 0.3791854228312336}",25,3,-33.871079085916655,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.6, 'e': 0.37160171437460887}",25,0,-41.69900087455512,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
50,False,"{'a': 0.6, 'e': 0.3641696800871167}",20,0,-37.78327723396826,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.6, 'e': 0.35688628648537435}",25,0,-4.236790859444202,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.34974856075566685}",20,0,-10.426172547572815,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.6, 'e': 0.3427535895405535}",25,0,-115.75988272925565,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.6, 'e': 0.33589851774974244}",20,13,10.069843426624649,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.3291805473947476}",25,0,-33.69129283914061,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.6, 'e': 0.32259693644685267}",20,14,-19.40051737589774,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.3161449977179156}",20,6,3.730292893347542,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.3098220977635573}",20,7,-53.806091243530574,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.6, 'e': 0.30362565580828615}",20,0,8.9019309731053,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.6, 'e': 0.2975531426921204}",30,16,0.9736637265070651,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.291602079838278}",25,11,-20.38333688927719,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.2857700382415124}",25,0,-132.0585783846399,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.6, 'e': 0.2800546374766822}",25,6,15.477690491706436,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.6, 'e': 0.27445354472714856}",20,8,11.456394577342877,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.6, 'e': 0.2689644738326056}",30,20,2.6456971424039506,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.6, 'e': 0.26358518435595346}",20,0,-23.24211965205647,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.6, 'e': 0.25831348066883436}",25,18,10.901066302175881,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.6, 'e': 0.2531472110554577}",30,6,6.616398402854648,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.24808426683434853}",20,0,-16.86512551651164,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.6, 'e': 0.24312258149766156}",30,18,-7.587521026257935,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.6, 'e': 0.2382601298677083}",25,14,-15.86148914011933,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.23349492727035415}",20,0,7.317186778620475,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.6, 'e': 0.22882502872494706}",20,0,2.2034627982814206,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
