trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9}",35,0,-172.73210019336958,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.81}",20,0,-68.5942291037705,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.7290000000000001}",20,0,-30.67418865009895,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.6561000000000001}",25,0,-174.65509594021637,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.5904900000000002}",20,0,-104.51875292758119,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.5314410000000002}",20,0,-3.024507185834563,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.47829690000000014}",20,12,-11.889312259329689,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.43046721000000016}",30,0,-137.4798018318918,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.38742048900000015}",20,0,-38.58462137554788,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.34867844010000015}",30,0,-71.76860304513856,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.31381059609000017}",20,0,-96.35767154649668,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.28242953648100017}",20,0,-9.921032208929315,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.25418658283290013}",25,0,17.31417919136898,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.22876792454961012}",25,0,-68.90429709162588,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.2058911320946491}",20,14,-0.3149878256180645,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
