trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9924450321351935}",20,0,-160.8159533147542,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.9920724964179307}",20,0,-75.10501637801386,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9916910320548965}",25,0,-171.22221765287117,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9913006424792677}",20,0,-133.56039343312307,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9909013312045479}",20,0,-128.88697789125882,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9904931018245359}",25,0,-109.22183427464583,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9900759580132933}",20,0,-110.33412223384393,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-171.7607025028207,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9892149421944781}",25,0,-136.59240641344752,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-132.52951663991328,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9883183147445792}",20,0,-126.27655048638722,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9878566566949545}",30,0,-142.4876820703811,"{0: 13, 1: 5, 2: 11, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9873861079420876}",30,0,-145.3228060648244,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-219.5211962129645,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.9864183553463477}",30,0,-145.81414202796506,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9859211602132415}",20,0,-103.50275747622197,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9854150917963483}",20,0,-54.6740473643221,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9849001546502806}",25,0,-240.30435437411518,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
