trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",25,0,-255.70848533024014,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
2,False,"{'a': 0.6, 'e': 0.9025}",25,0,-270.7803824697278,"{0: 9, 1: 1, 2: 11, 3: 0, 4: 4}",0
3,False,"{'a': 0.6, 'e': 0.8573749999999999}",25,6,-28.048755871559607,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.8145062499999999}",25,0,-73.78209088878808,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7737809374999999}",20,0,-158.0286797228983,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.7350918906249998}",20,0,-100.45875993153604,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.6983372960937497}",20,0,-142.92172192587026,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.6634204312890623}",30,0,-234.13969901925796,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
9,False,"{'a': 0.6, 'e': 0.6302494097246091}",35,0,-132.68874840385456,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.5987369392383786}",20,0,-61.658107649961366,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.5688000922764596}",20,0,-79.1477466674237,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.5403600876626365}",20,0,-20.37777849176081,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.5133420832795047}",25,0,-171.0751830594524,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.48767497911552943}",20,6,-28.22493231358097,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.46329123015975293}",25,0,-55.113068026886175,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.44012666865176525}",25,0,-68.04819749767842,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.41812033521917696}",25,0,-47.64801104870856,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.3972143184582181}",20,0,-36.112563625578424,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.37735360253530714}",20,0,-40.07289539956465,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.35848592240854177}",20,0,4.0297388269346275,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.34056162628811465}",25,4,-63.02845648228088,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.3235335449737089}",35,0,-80.4991747932085,"{0: 29, 1: 3, 2: 0, 3: 1, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.30735686772502346}",20,0,-66.70599753153579,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.2919890243387723}",25,0,-130.13705338326412,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
25,False,"{'a': 0.6, 'e': 0.27738957312183365}",25,9,-45.767515520333994,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
26,False,"{'a': 0.6, 'e': 0.263520094465742}",25,0,1.1385216109292935,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.25034408974245487}",20,8,-24.702301234669783,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.2378268852553321}",30,0,-38.74755975046634,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.2259355409925655}",20,11,9.795887842188632,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.2146387639429372}",25,5,15.206414672155631,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.20390682574579033}",25,0,-36.14303243315274,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.1937114844585008}",30,0,-30.235440125849006,"{0: 24, 1: 3, 2: 1, 3: 2, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.18402591023557577}",25,0,-2.770682499874928,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.17482461472379698}",25,0,-49.894533341078834,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.16608338398760714}",25,13,-23.649992123369984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.6, 'e': 0.15777921478822676}",20,4,-26.063354639512692,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.6, 'e': 0.14989025404881542}",20,14,11.024842473093345,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.14239574134637464}",25,1,-4.558622677203702,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.1352759542790559}",20,0,-58.41269675386016,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
40,False,"{'a': 0.6, 'e': 0.1285121565651031}",25,8,-78.24234199679512,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
41,False,"{'a': 0.6, 'e': 0.12208654873684793}",20,13,10.798405481404348,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.11598222130000553}",30,9,27.517504701803876,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.11018311023500525}",30,0,-8.444191251442632,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.6, 'e': 0.10467395472325498}",30,12,-17.742953134311342,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.6, 'e': 0.09944025698709223}",20,11,11.63604540849797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.09446824413773762}",25,0,-81.89409319549085,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.08974483193085074}",25,17,16.888268435923393,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.0852575903343082}",20,14,10.945335072562138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.08099471081759278}",20,5,21.834602832173786,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.07694497527671314}",20,0,-59.733937474339356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
51,False,"{'a': 0.6, 'e': 0.07309772651287748}",20,3,-34.0646244651954,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.6, 'e': 0.0694428401872336}",20,8,20.605220884133296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.0659706981778719}",20,11,15.491658381898532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.0626721632689783}",20,12,15.44895315844673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.059538555105529384}",20,2,-34.789242265742665,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
